peca;perfil;comprimento_mm;qtd;observacao
montante;30x30x1,5;1600;6;ponta 90 graus
travessa;30x30x1,5;840;6;ponta 90 graus
rodizio;roda 75 mm c/ freio;-;6;placa aparafusada em chapa soldada sob o montante
